Gx	Gy	Gz	Gyrox	Gyroy	Gyroz
-0.004	-0.013	 1.101	 0.206	 0.870	 0.496
-0.002	-0.019	 1.095	 0.191	 0.908	 0.542
-0.003	-0.014	 1.098	 0.252	 0.916	 0.595
-0.000	-0.009	 1.094	 0.267	 0.900	 0.610
 0.002	-0.013	 1.093	 0.191	 0.877	 0.511
 0.003	-0.008	 1.100	 0.183	 0.877	 0.481
 0.000	-0.011	 1.101	 0.237	 0.877	 0.511
 0.000	-0.010	 1.098	 0.244	 0.885	 0.549
 0.000	-0.012	 1.100	 0.183	 0.870	 0.549
-0.001	-0.013	 1.100	 0.145	 0.839	 0.496
 0.000	-0.010	 1.096	 0.198	 0.816	 0.519
 0.002	-0.008	 1.104	 0.221	 0.839	 0.504
 0.000	-0.007	 1.097	 0.229	 0.916	 0.534
-0.001	-0.010	 1.095	 0.160	 0.862	 0.519
 0.001	-0.007	 1.099	 0.198	 0.793	 0.534
 0.007	-0.008	 1.105	 0.244	 0.870	 0.595
-0.001	-0.011	 1.104	 0.221	 0.893	 0.557
 0.000	-0.011	 1.103	 0.191	 0.938	 0.511
-0.001	-0.011	 1.103	 0.137	 0.900	 0.549
-0.002	-0.012	 1.102	 0.229	 0.870	 0.565
 0.001	-0.011	 1.101	 0.221	 0.870	 0.595
 0.003	-0.012	 1.109	 0.198	 0.923	 0.557
 0.003	-0.017	 1.112	 0.198	 0.877	 0.534
 0.001	-0.015	 1.110	 0.305	 0.900	 0.542
 0.005	-0.016	 1.098	 0.298	 0.916	 0.473
 0.002	-0.012	 1.092	 0.198	 0.847	 0.458
 0.001	-0.017	 1.094	 0.183	 0.832	 0.511
 0.005	-0.008	 1.106	 0.168	 0.832	 0.587
 0.002	-0.003	 1.097	 0.191	 0.847	 0.641
 0.004	-0.005	 1.095	 0.244	 0.877	 0.626
-0.001	-0.007	 1.098	 0.290	 0.847	 0.580
-0.000	-0.008	 1.099	 0.305	 0.931	 0.481
-0.001	-0.012	 1.097	 0.282	 0.931	 0.420
-0.002	-0.006	 1.094	 0.221	 0.908	 0.473
 0.003	-0.011	 1.099	 0.214	 0.908	 0.572
 0.003	-0.011	 1.109	 0.282	 0.839	 0.557
 0.006	-0.013	 1.092	 0.336	 0.832	 0.557
-0.001	-0.008	 1.093	 0.244	 0.847	 0.557
 0.001	-0.008	 1.107	 0.153	 0.839	 0.549
-0.001	-0.013	 1.101	 0.198	 0.824	 0.580
 0.001	-0.011	 1.098	 0.221	 0.862	 0.542
-0.001	-0.017	 1.101	 0.221	 0.877	 0.473
-0.003	-0.014	 1.101	 0.160	 0.893	 0.488
-0.001	-0.013	 1.091	 0.214	 0.931	 0.504
 0.001	-0.008	 1.100	 0.267	 0.862	 0.534
 0.000	-0.012	 1.105	 0.237	 0.809	 0.572
 0.004	-0.014	 1.094	 0.175	 0.786	 0.633
 0.003	-0.015	 1.093	 0.168	 0.816	 0.526
-0.002	-0.017	 1.100	 0.214	 0.839	 0.465
-0.004	-0.010	 1.094	 0.214	 0.839	 0.488
-0.000	-0.007	 1.095	 0.153	 0.824	 0.572
 0.005	-0.006	 1.097	 0.130	 0.809	 0.542
 0.003	-0.011	 1.101	 0.198	 0.824	 0.488
 0.004	-0.013	 1.098	 0.275	 0.801	 0.496
-0.002	-0.013	 1.101	 0.244	 0.839	 0.565
-0.002	-0.008	 1.095	 0.175	 0.862	 0.626
 0.001	-0.012	 1.097	 0.267	 0.877	 0.656
 0.001	-0.015	 1.098	 0.351	 0.893	 0.557
 0.001	-0.013	 1.101	 0.320	 0.870	 0.412
 0.001	-0.014	 1.102	 0.206	 0.854	 0.397
 0.003	-0.016	 1.106	 0.221	 0.854	 0.412
 0.008	-0.014	 1.098	 0.244	 0.877	 0.504
-0.002	-0.010	 1.099	 0.206	 0.839	 0.542
-0.002	-0.012	 1.100	 0.160	 0.847	 0.526
 0.000	-0.010	 1.104	 0.160	 0.854	 0.542
 0.001	-0.012	 1.101	 0.229	 0.877	 0.526
 0.002	-0.018	 1.112	 0.343	 0.961	 0.519
 0.001	-0.009	 1.108	 0.244	 1.007	 0.519
 0.001	-0.010	 1.110	 0.183	 0.984	 0.572
-0.001	-0.011	 1.103	 0.206	 0.908	 0.534
-0.004	-0.012	 1.098	 0.221	 0.885	 0.557
-0.004	-0.011	 1.099	 0.183	 0.839	 0.572
-0.002	-0.008	 1.102	 0.191	 0.755	 0.572
 0.001	-0.009	 1.104	 0.275	 0.839	 0.694
 0.003	-0.013	 1.104	 0.290	 0.916	 0.580
 0.005	-0.008	 1.102	 0.229	 0.893	 0.534
 0.004	-0.009	 1.098	 0.160	 0.839	 0.534
-0.001	-0.011	 1.101	 0.206	 0.816	 0.542
 0.003	-0.013	 1.104	 0.229	 0.801	 0.610
-0.001	-0.009	 1.099	 0.221	 0.801	 0.618
 0.000	-0.009	 1.098	 0.214	 0.786	 0.618
-0.001	-0.012	 1.100	 0.229	 0.832	 0.565
 0.001	-0.012	 1.102	 0.229	 0.885	 0.519
 0.003	-0.016	 1.102	 0.206	 0.900	 0.519
-0.003	-0.012	 1.101	 0.206	 0.832	 0.534
 0.000	-0.012	 1.098	 0.214	 0.801	 0.511
 0.001	-0.018	 1.100	 0.214	 0.839	 0.450
 0.000	-0.012	 1.094	 0.206	 0.862	 0.458
-0.002	-0.014	 1.096	 0.145	 0.923	 0.504
 0.001	-0.007	 1.099	 0.145	 0.893	 0.549
-0.004	-0.009	 1.095	 0.221	 0.862	 0.534
-0.003	-0.011	 1.100	 0.259	 0.839	 0.519
-0.002	-0.012	 1.106	 0.244	 0.824	 0.435
-0.002	-0.017	 1.107	 0.183	 0.832	 0.450
 0.000	-0.011	 1.100	 0.206	 0.862	 0.511
-0.006	-0.015	 1.091	 0.290	 0.893	 0.603
-0.006	-0.012	 1.097	 0.290	 0.908	 0.580
-0.006	-0.012	 1.105	 0.214	 0.877	 0.542
