Gx	Gy	Gz	Gyrox	Gyroy	Gyroz
-0.002	-0.008	 1.101	 0.221	 0.931	 0.565
-0.002	-0.009	 1.101	 0.282	 0.870	 0.542
-0.004	-0.009	 1.103	 0.175	 0.832	 0.618
-0.001	-0.013	 1.102	 0.130	 0.786	 0.618
 0.002	-0.013	 1.093	 0.252	 0.816	 0.519
 0.004	-0.013	 1.096	 0.366	 0.900	 0.511
 0.001	-0.006	 1.101	 0.343	 0.954	 0.519
 0.005	-0.011	 1.106	 0.191	 0.900	 0.465
 0.002	-0.010	 1.101	 0.175	 0.862	 0.473
-0.001	-0.012	 1.095	 0.221	 0.885	 0.504
-0.002	-0.008	 1.089	 0.221	 0.870	 0.587
 0.002	-0.007	 1.093	 0.168	 0.832	 0.618
 0.000	-0.015	 1.104	 0.137	 0.870	 0.618
-0.002	-0.018	 1.105	 0.191	 0.923	 0.572
-0.002	-0.018	 1.105	 0.229	 0.923	 0.511
-0.000	-0.015	 1.106	 0.206	 0.908	 0.526
-0.001	-0.015	 1.107	 0.175	 0.954	 0.473
 0.004	-0.013	 1.112	 0.221	 0.862	 0.465
 0.000	-0.010	 1.104	 0.214	 0.793	 0.458
 0.000	-0.009	 1.106	 0.191	 0.778	 0.519
-0.000	-0.010	 1.103	 0.191	 0.801	 0.549
-0.003	-0.020	 1.099	 0.160	 0.832	 0.557
 0.001	-0.015	 1.098	 0.214	 0.938	 0.565
 0.000	-0.014	 1.097	 0.191	 0.954	 0.565
 0.000	-0.010	 1.093	 0.130	 0.908	 0.549
-0.002	-0.012	 1.099	 0.221	 0.862	 0.496
-0.005	-0.009	 1.105	 0.298	 0.832	 0.511
-0.002	-0.008	 1.107	 0.259	 0.931	 0.542
-0.000	-0.010	 1.103	 0.244	 0.969	 0.557
 0.001	-0.015	 1.104	 0.252	 0.931	 0.534
-0.004	-0.012	 1.090	 0.221	 0.862	 0.542
-0.003	-0.009	 1.090	 0.175	 0.862	 0.580
-0.001	-0.013	 1.097	 0.198	 0.877	 0.565
 0.003	-0.009	 1.094	 0.221	 0.916	 0.534
 0.004	-0.012	 1.093	 0.237	 0.877	 0.488
 0.001	-0.013	 1.092	 0.282	 0.893	 0.580
-0.005	-0.016	 1.091	 0.198	 0.931	 0.603
 0.003	-0.020	 1.097	 0.107	 0.885	 0.572
 0.003	-0.013	 1.103	 0.183	 0.870	 0.511
 0.006	-0.009	 1.103	 0.252	 0.893	 0.481
 0.004	-0.014	 1.098	 0.252	 0.839	 0.572
 0.008	-0.021	 1.092	 0.191	 0.839	 0.534
-0.004	-0.020	 1.094	 0.160	 0.832	 0.496
-0.004	-0.014	 1.097	 0.214	 0.854	 0.565
-0.005	-0.010	 1.103	 0.229	 0.900	 0.580
 0.001	-0.011	 1.108	 0.214	 0.824	 0.595
 0.002	-0.012	 1.114	 0.198	 0.839	 0.595
 0.003	-0.011	 1.107	 0.198	 0.854	 0.549
 0.002	-0.010	 1.113	 0.214	 0.854	 0.534
 0.004	-0.015	 1.103	 0.206	 0.839	 0.458
 0.005	-0.010	 1.097	 0.214	 0.847	 0.488
 0.000	-0.008	 1.099	 0.282	 0.786	 0.595
 0.002	-0.014	 1.096	 0.320	 0.809	 0.664
 0.001	-0.011	 1.102	 0.229	 0.832	 0.694
 0.003	-0.014	 1.103	 0.175	 0.832	 0.710
-0.002	-0.015	 1.105	 0.168	 0.847	 0.587
 0.000	-0.016	 1.110	 0.259	 0.862	 0.587
-0.001	-0.010	 1.111	 0.244	 0.847	 0.587
 0.003	-0.013	 1.102	 0.191	 0.793	 0.504
 0.005	-0.011	 1.104	 0.191	 0.832	 0.565
 0.001	-0.011	 1.097	 0.229	 0.877	 0.595
 0.000	-0.012	 1.096	 0.229	 0.916	 0.587
 0.001	-0.008	 1.104	 0.168	 0.954	 0.595
 0.006	-0.011	 1.108	 0.229	 0.862	 0.618
 0.003	-0.013	 1.104	 0.282	 0.877	 0.504
 0.001	-0.011	 1.090	 0.267	 0.908	 0.435
 0.002	-0.011	 1.091	 0.191	 0.916	 0.534
-0.001	-0.009	 1.106	 0.145	 0.870	 0.504
-0.005	-0.012	 1.097	 0.183	 0.847	 0.481
-0.001	-0.012	 1.096	 0.183	 0.977	 0.496
 0.003	-0.009	 1.101	 0.183	 0.931	 0.572
 0.003	-0.018	 1.101	 0.206	 0.839	 0.633
-0.002	-0.018	 1.108	 0.237	 0.740	 0.595
-0.003	-0.015	 1.099	 0.259	 0.824	 0.526
-0.002	-0.014	 1.103	 0.252	 0.893	 0.473
 0.002	-0.011	 1.097	 0.175	 0.885	 0.526
-0.003	-0.008	 1.090	 0.175	 0.885	 0.511
 0.000	-0.011	 1.093	 0.183	 0.862	 0.526
 0.004	-0.010	 1.098	 0.168	 0.809	 0.549
 0.000	-0.017	 1.102	 0.168	 0.839	 0.526
-0.000	-0.014	 1.108	 0.229	 0.870	 0.534
-0.002	-0.014	 1.098	 0.252	 0.816	 0.595
-0.004	-0.010	 1.102	 0.267	 0.809	 0.565
 0.000	-0.012	 1.098	 0.198	 0.839	 0.473
 0.000	-0.012	 1.100	 0.183	 0.923	 0.473
 0.000	-0.009	 1.100	 0.206	 0.931	 0.542
 0.006	-0.013	 1.108	 0.237	 0.916	 0.565
-0.001	-0.013	 1.098	 0.237	 0.877	 0.542
-0.001	-0.015	 1.094	 0.259	 0.862	 0.572
 0.001	-0.015	 1.091	 0.298	 0.916	 0.534
-0.002	-0.015	 1.103	 0.282	 0.946	 0.458
 0.004	-0.008	 1.110	 0.244	 0.946	 0.465
-0.001	-0.005	 1.104	 0.214	 0.885	 0.511
-0.003	-0.012	 1.099	 0.237	 0.839	 0.496
 0.000	-0.013	 1.106	 0.252	 0.816	 0.580
 0.004	-0.011	 1.104	 0.237	 0.793	 0.610
 0.002	-0.011	 1.107	 0.198	 0.862	 0.626
 0.003	-0.010	 1.105	 0.259	 1.022	 0.534
 0.003	-0.014	 1.104	 0.267	 0.946	 0.488
 0.001	-0.007	 1.106	 0.267	 0.854	 0.511
 0.006	-0.010	 1.095	 0.175	 0.839	 0.519
 0.004	-0.012	 1.099	 0.168	 0.893	 0.496
-0.002	-0.010	 1.099	 0.214	 0.961	 0.496
 0.005	-0.014	 1.099	 0.183	 0.931	 0.534
 0.009	-0.019	 1.101	 0.175	 0.832	 0.610
 0.002	-0.011	 1.096	 0.160	 0.870	 0.603
 0.007	-0.010	 1.088	 0.198	 0.854	 0.557
 0.003	-0.011	 1.099	 0.229	 0.816	 0.511
 0.000	-0.011	 1.096	 0.168	 0.847	 0.496
 0.003	-0.012	 1.097	 0.145	 0.847	 0.488
 0.000	-0.018	 1.105	 0.229	 0.900	 0.511
 0.003	-0.010	 1.106	 0.313	 0.854	 0.565
 0.005	-0.010	 1.103	 0.244	 0.801	 0.595
 0.002	-0.019	 1.106	 0.183	 0.847	 0.557
-0.002	-0.013	 1.108	 0.252	 0.847	 0.610
 0.001	-0.012	 1.097	 0.313	 0.870	 0.549
 0.003	-0.008	 1.098	 0.305	 0.839	 0.534
 0.000	-0.013	 1.105	 0.206	 0.816	 0.580
-0.001	-0.010	 1.102	 0.214	 0.885	 0.648
-0.003	-0.014	 1.106	 0.298	 0.816	 0.557
-0.003	-0.014	 1.106	 0.244	 0.801	 0.450
-0.002	-0.011	 1.108	 0.160	 0.870	 0.511
-0.001	-0.014	 1.102	 0.175	 0.923	 0.557
 0.003	-0.010	 1.106	 0.198	 0.954	 0.549
-0.001	-0.013	 1.107	 0.183	 0.885	 0.534
-0.002	-0.011	 1.103	 0.168	 0.847	 0.473
 0.004	-0.009	 1.096	 0.183	 0.847	 0.458
 0.004	-0.011	 1.095	 0.267	 0.862	 0.511
 0.001	-0.013	 1.096	 0.259	 0.885	 0.534
